# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-5 3 5 ff0000
-4 3 5 ff0000
-3 3 5 ff0000
-8 4 5 ff0000
-7 4 5 ff0000
-6 4 5 ff0000
-5 4 5 ff0000
-4 4 5 ff0000
-3 4 5 ff0000
-2 4 5 ff0000
-8 5 5 ff0000
-7 5 5 ff0000
-6 5 5 ff0000
-5 5 5 ff0000
-4 5 5 ff0000
-3 5 5 ff0000
-2 5 5 ff0000
-1 5 5 ff0000
-7 6 5 ff0000
-6 6 5 ff0000
-5 6 5 ff0000
-4 6 5 ff0000
-3 6 5 ff0000
-2 6 5 ff0000
-1 6 5 ff0000
-6 7 5 ff0000
-5 7 5 ff0000
-4 7 5 ff0000
-3 7 5 ff0000
-2 7 5 ff0000
-1 7 5 ff0000
-5 8 5 ff0000
-4 8 5 ff0000
-3 8 5 ff0000
-2 8 5 ff0000
-1 8 5 ff0000
-4 9 5 ff0000
-3 9 5 ff0000
-2 9 5 ff0000
-1 9 5 ff0000
-6 1 6 ff0000
-5 1 6 ff0000
-4 1 6 ff0000
-7 2 6 ff0000
-6 2 6 ff0000
-5 2 6 ff0000
-4 2 6 ff0000
-3 2 6 ff0000
-7 3 6 ff0000
-6 3 6 ff0000
-5 3 6 ff0000
-4 3 6 ff0000
-3 3 6 ff0000
-7 4 6 ff0000
-6 4 6 ff0000
-5 4 6 ff0000
-4 4 6 ff0000
-3 4 6 ff0000
-2 4 6 ff0000
-7 5 6 ff0000
-6 5 6 ff0000
-5 5 6 ff0000
-4 5 6 ff0000
-3 5 6 ff0000
-2 5 6 ff0000
-1 5 6 ff0000
-6 6 6 ff0000
-5 6 6 ff0000
-4 6 6 ff0000
-3 6 6 ff0000
-2 6 6 ff0000
-1 6 6 ff0000
-5 7 6 ff0000
-4 7 6 ff0000
-3 7 6 ff0000
-2 7 6 ff0000
-1 7 6 ff0000
-4 8 6 ff0000
-3 8 6 ff0000
-2 8 6 ff0000
-1 8 6 ff0000
-6 2 7 ff4700
-5 2 7 ff4700
-4 2 7 ff4700
-6 3 7 ff4700
-5 3 7 ff4700
-4 3 7 ff4700
-6 4 7 ff4700
-5 4 7 ff4700
-4 4 7 ff4700
-3 4 7 ff4700
-6 5 7 ff4700
-5 5 7 ff4700
-4 5 7 ff4700
-3 5 7 ff4700
-2 5 7 ff4700
-5 6 7 ff4700
-4 6 7 ff4700
-3 6 7 ff4700
-2 6 7 ff4700
-1 6 7 ff4700
-4 7 7 ff4700
-3 7 7 ff4700
-2 7 7 ff4700
-1 7 7 ff4700
1 0 2 ff4700
2 0 2 ff4700
3 0 2 ff4700
4 0 2 ff4700
2 1 2 ff4700
3 1 2 ff4700
4 1 2 ff4700
5 1 2 ff4700
3 2 2 ff4700
4 2 2 ff4700
5 2 2 ff4700
3 3 2 ff4700
4 3 2 ff4700
5 3 2 ff4700
2 4 2 ff4700
3 4 2 ff4700
4 4 2 ff4700
5 4 2 ff4700
1 5 2 ff4700
2 5 2 ff4700
3 5 2 ff4700
4 5 2 ff4700
5 5 2 ff4700
0 6 2 ff4700
1 6 2 ff4700
2 6 2 ff4700
3 6 2 ff4700
4 6 2 ff4700
0 7 2 ff4700
1 7 2 ff4700
2 7 2 ff4700
3 7 2 ff4700
0 0 3 ff0000
1 0 3 ff0000
2 0 3 ff0000
3 0 3 ff0000
4 0 3 ff0000
5 0 3 ff0000
1 1 3 ff0000
2 1 3 ff0000
3 1 3 ff0000
4 1 3 ff0000
5 1 3 ff0000
6 1 3 ff0000
2 2 3 ff0000
3 2 3 ff0000
4 2 3 ff0000
5 2 3 ff0000
6 2 3 ff0000
2 3 3 ff0000
3 3 3 ff0000
4 3 3 ff0000
5 3 3 ff0000
