# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-2 8 10 ff9800
-1 8 10 ff9800
-5 9 10 ff9800
-4 9 10 ff9800
-3 9 10 ff9800
-2 9 10 ff9800
-1 9 10 ff9800
-4 10 10 ff9800
-3 10 10 ff9800
-2 10 10 ff9800
-1 10 10 ff9800
-2 11 10 ff9800
-1 11 10 ff9800
-7 0 11 ffac0f
-6 0 11 ffac0f
-5 0 11 ffac0f
-4 0 11 ffac0f
-3 0 11 ffac0f
-2 0 11 ffac0f
-1 0 11 ffac0f
-7 1 11 ffac0f
-6 1 11 ffac0f
-5 1 11 ffac0f
-4 1 11 ffac0f
-3 1 11 ffac0f
-2 1 11 ffac0f
-1 1 11 ffac0f
-8 2 11 ffac0f
-7 2 11 ffac0f
-6 2 11 ffac0f
-5 2 11 ffac0f
-4 2 11 ffac0f
-3 2 11 ffac0f
-2 2 11 ffac0f
-1 2 11 ffac0f
-8 3 11 ffac0f
-7 3 11 ffac0f
-6 3 11 ffac0f
-5 3 11 ffac0f
-4 3 11 ffac0f
-3 3 11 ffac0f
-2 3 11 ffac0f
-1 3 11 ffac0f
-8 4 11 ffac0f
-7 4 11 ffac0f
-6 4 11 ffac0f
-5 4 11 ffac0f
-4 4 11 ffac0f
-3 4 11 ffac0f
-2 4 11 ffac0f
-1 4 11 ffac0f
-8 5 11 ffac0f
-7 5 11 ffac0f
-6 5 11 ffac0f
-5 5 11 ffac0f
-4 5 11 ffac0f
-3 5 11 ffac0f
-2 5 11 ffac0f
-1 5 11 ffac0f
-8 6 11 ffac0f
-7 6 11 ffac0f
-6 6 11 ffac0f
-5 6 11 ffac0f
-4 6 11 ffac0f
-3 6 11 ffac0f
-2 6 11 ffac0f
-1 6 11 ffac0f
-7 7 11 ffac0f
-6 7 11 ffac0f
-5 7 11 ffac0f
-4 7 11 ffac0f
-3 7 11 ffac0f
-2 7 11 ffac0f
-1 7 11 ffac0f
-7 8 11 ffac0f
-6 8 11 ffac0f
