# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-12 -1 15 962831
-11 -1 15 fa0c21
-10 -1 15 fa0c21
-9 -1 15 f3a4a4
-8 -1 15 f3a4a4
-7 -1 15 f3a4a4
-6 -1 15 fa0a21
2 -12 13 fa0c21
3 -12 13 fa0c21
4 -12 13 fa0c21
5 -12 13 fa0c21
0 -11 13 fa0c21
1 -11 13 fa0a21
2 -11 13 fa0c21
3 -11 13 fa0c21
0 -10 13 fa0c21
1 -10 13 fa0c21
2 -10 13 fa0c21
0 -9 13 fa0c21
1 -9 13 fa0a21
0 -8 13 fa0c21
2 -12 14 fa0c21
3 -12 14 fa0c21
4 -12 14 fa0c21
5 -12 14 fa0c21
0 -11 14 fa0c21
1 -11 14 fa0a21
2 -11 14 fa0c21
3 -11 14 fa0c21
0 -10 14 fa0c21
1 -10 14 fa0c21
2 -10 14 fa0c21
0 -9 14 fa0c21
1 -9 14 fa0a21
0 -8 14 fa0c21
3 -13 15 962831
4 -13 15 962831
0 -12 15 96282f
1 -12 15 96282f
2 -12 15 fa0c21
3 -12 15 fa0c21
4 -12 15 fa0c21
5 -12 15 fa0c21
6 -12 15 fa0c21
7 -12 15 fa0c21
0 -11 15 fa0c21
1 -11 15 fa0a21
2 -11 15 fa0c21
3 -11 15 fa0c21
4 -11 15 c6292d
5 -11 15 c6292d
8 -11 15 c6292d
0 -10 15 fa0c21
1 -10 15 fa0c21
2 -10 15 fa0c21
3 -10 15 c6292d
0 -9 15 fa0c21
1 -9 15 fa0a21
2 -9 15 c6292d
0 -8 15 fa0c21
1 -8 15 c6292d
0 -7 15 c6292d
-2 -12 16 962831
-1 -12 16 962831
-4 -11 16 96282f
-3 -11 16 96282f
-2 -11 16 96282f
-1 -11 16 fa0c21
-6 -10 16 962831
-5 -10 16 962831
-4 -10 16 962831
-3 -10 16 fa0a21
-2 -10 16 fa0a21
-1 -10 16 fa0c21
-7 -9 16 962831
-6 -9 16 96282f
-5 -9 16 c6292d
-4 -9 16 fa0a21
-3 -9 16 fa0c21
-2 -9 16 fa0c21
-1 -9 16 fa0c21
-8 -8 16 962831
-7 -8 16 962831
-6 -8 16 c6292d
-5 -8 16 fa0c21
-4 -8 16 fa0c21
-3 -8 16 fa0c21
-2 -8 16 fa0c21
-1 -8 16 fa0c21
-9 -7 16 962831
-8 -7 16 962831
-7 -7 16 c6292d
-6 -7 16 fa0c21
-5 -7 16 fa0c21
-4 -7 16 fa0c21
-3 -7 16 fa0c21
-2 -7 16 fa0c21
-1 -7 16 fa0a21
-10 -6 16 962831
-9 -6 16 96282f
-8 -6 16 c6292d
-7 -6 16 fa0c21
-6 -6 16 fa0c21
-5 -6 16 fa0c21
-4 -6 16 fa0c21
-3 -6 16 fa0c21
-2 -6 16 fa0a21
-1 -6 16 fa0c21
-11 -5 16 96282f
-10 -5 16 962831
-9 -5 16 c6292d
-8 -5 16 fa0c21
-7 -5 16 fa0c21
-6 -5 16 fa0c21
-5 -5 16 fa0c21
-4 -5 16 fa0c21
-3 -5 16 fa0c21
-2 -5 16 fa0a21
-12 -4 16 96282f
-11 -4 16 96282f
-10 -4 16 c6292d
-9 -4 16 fa0a21
-8 -4 16 fa0c21
-7 -4 16 fa0c21
-6 -4 16 fa0c21
-5 -4 16 fa0c21
-4 -4 16 fa0c21
-3 -4 16 fa0c21
-13 -3 16 962831
-12 -3 16 96282f
-11 -3 16 c6292d
-10 -3 16 fa0c21
-9 -3 16 fa0a21
-8 -3 16 fa0c21
-7 -3 16 fa0c21
-6 -3 16 fa0c21
-5 -3 16 f3a4a4
-4 -3 16 fa0c21
-13 -2 16 96282f
-12 -2 16 c6292d
-11 -2 16 fa0c21
-10 -2 16 fa0c21
-9 -2 16 fa0a21
